2025-12-12 13:21:13,499 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/49534/apoio-evento-apresenta-dados-de-pesquisa-inedita-que-revela-habitos-culturais-da-populacao-de-porto-velho
2025-12-12 13:21:14,195 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/49489/apoio-institucional-porto-velho-recebe-reitores-das-universidades-federais-da-regiao-norte
2025-12-12 13:21:14,869 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/49429/fomento-a-cultura-funcultural-divulga-resultado-dos-projetos-selecionados-em-chamamento-publico-com-recursos-da-lei-aldir-blanc
2025-12-12 13:21:15,531 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/49427/tradicao-feirantes-de-porto-velho-entram-no-clima-das-festas-juninas-e-reforcam-a-venda-de-produtos-tipicos-para-esta-epoca-do-ano
2025-12-12 13:21:16,250 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/49197/circuito-junino-iii-arraial-da-calderita-acontece-nos-proximos-dias-6-e-7-de-junho
2025-12-12 13:21:16,897 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/49218/fomento-a-cultura-funcultural-divulga-lista-de-resultado-das-inscricoes-de-editais-de-chamamento-publico
2025-12-12 13:21:17,656 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/noticias?page=5
2025-12-12 13:21:18,305 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/49200/cultura-funcultural-publica-resultado-final-de-credenciamento-de-artistas-e-grupos-culturais
2025-12-12 13:21:18,927 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/49089/circuito-junino-arraial-flor-de-cacto-acontece-de-30-de-maio-a-8-de-junho-na-zona-sul-de-porto-velho
2025-12-12 13:21:19,511 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/49032/geracao-de-renda-vendedores-ambulantes-comemoram-vendas-no-arraia-da-prefs-no-parque-da-cidade
2025-12-12 13:21:20,171 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48993/o-maior-do-norte-cerca-de-70-mil-pessoas-se-encantaram-com-a-primeira-edicao-do-arraia-da-prefs-no-parque-da-cidade
2025-12-12 13:21:20,812 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48980/sucesso-prefeitura-de-porto-velho-abre-oficialmente-o-calendario-junino-no-parque-da-cidade-com-o-arraia-da-prefs
2025-12-12 13:21:21,418 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48911/festa-junina-quadrilhas-se-preparam-para-encantar-no-arraia-da-prefs
2025-12-12 13:21:21,988 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48903/limpeza-no-parque-semusb-prepara-o-parque-da-cidade-para-receber-o-publico-no-arraia-da-prefs
2025-12-12 13:21:22,607 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48886/viva-a-cultura-popular-bois-bumbas-resgatam-tradicao-e-identidade-cultural-no-arraia-da-prefs
2025-12-12 13:21:23,208 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48879/cultura-regional-valorizacao-dos-artistas-locais-marca-o-arraia-da-prefs
2025-12-12 13:21:23,794 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48853/festa-junina-prefeitura-de-porto-velho-inicia-montagem-da-estrutura-para-a-1a-edicao-do-arraia-da-prefs
2025-12-12 13:21:24,367 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48813/arraia-da-prefs-prefeitura-de-porto-velho-divulga-a-programacao-do-evento-que-inicia-na-proxima-sexta-feira-23
2025-12-12 13:21:24,970 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48781/arraia-da-prefs-sucessos-nacionais-ju-marques-e-forro-do-muido-prometem-grandes-shows-em-porto-velho
2025-12-12 13:21:25,541 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48714/maior-do-norte-prefeitura-lanca-arraia-da-prefs-e-divulga-calendario-junino
2025-12-12 13:21:26,119 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48611/aldir-blanc-divulgado-edital-para-credenciamento-de-selecao-de-espacos-ambientes-e-iniciativas-artistico-culturais
2025-12-12 13:21:26,738 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48604/cultura-viva-prefeitura-de-porto-velho-lanca-edital-da-politica-nacional-aldir-blanc-para-fomentar-pontos-de-cultura
2025-12-12 13:21:27,399 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/noticias?page=6
2025-12-12 13:21:28,005 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48597/errata-prefeitura-altera-edital-para-selecao-de-projetos-que-terao-recursos-do-ministerio-da-cultura
2025-12-12 13:21:28,592 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48595/errata-prefeitura-de-porto-velho-publica-alteracoes-no-edital-de-chamamento-publico-que-deve-premiar-entidades-culturais
2025-12-12 13:21:29,131 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48529/dia-do-trabalhador-festival-do-trabalhador-celebra-data-com-alegria-e-cultura
2025-12-12 13:21:29,868 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48487/aldir-blanc-prefeitura-divulga-edital-para-selecao-de-projetos-culturais-com-apoio-financeiro-do-ministerio-da-cultura
2025-12-12 13:21:30,410 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48485/pontos-de-cultura-prefeitura-publica-edital-de-chamamento-publico-com-foco-no-desenvolvimento
2025-12-12 13:21:30,982 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48310/especial-100-dias-resgate-da-cultura-de-porto-velho-e-valorizacao-dos-artistas-regionais
2025-12-12 13:21:31,544 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/48211/cultura-inscricoes-para-o-credenciamento-de-artistas-para-eventos-do-municipio-encerram-nesta-sexta-feira-11
2025-12-12 13:21:32,119 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47934/calendario-cultural-inscricoes-para-o-credenciamento-de-artistas-para-eventos-da-funcultural-sao-prorrogadas-ate-dia-11-de-abril
